-5.7,-8.7,0,10,7.3,18.9,0,1,1,1,10.3,10.4,2.7,0,0,0,0
13.6,11.8,0,4,2.3,6.7,0,0,0.67,0,10,10,10,0,0,0,0
48.2,9.9,0,4.3,5.4,16.1,0,0,1,0,10,10,10,0,0,0,0
67.3,-8.4,0,16.7,13.7,8.5,0,1,0.1,1,10,2.3,2.7,0,0,0,0
30.7,-8.5,0,10,12,17.5,0,0,1,1,10,4,6.4,0,1,2,2
97.6,-9.5,0,14.1,12.4,9,0,1,1,1,3.8,10.9,2.7,0,1,0,0
111.4,-4.9,0,13.4,10.7,4.6,0,1,1,1,5.9,10.9,2.7,0,0,0,0
125.5,20,0,12.9,12,10.2,0,0,1,1,20,2,2.7,2,0,2,2
85.5,-7.1,0,15.6,13.3,9.5,0,1,1,1,3.9,4.7,2.7,0,1,0,0
147.5,14,0,10,12,30,0,0,1,1,2,8,2.7,2,2,2,2
153,-11,0,10,12,23.3,0,1,1,1,20,2,2.7,0,0,0,0
155.5,14,0,10,12,30,0,0,1,1,6,8,2.7,2,2,2,2
41.8,19.4,0,2.2,4.4,8.2,0,0,0.87,0,10,10,10,0,0,0,0
78.6,-25.7,0,10,12,30,0,1,1,1,10,10,10,0,0,0,0
